batch_size,epochs,loss,accuracy,time
64,5,0.0268214993931,0.991556503198,42.33615446090698
64,10,0.00890409954869,0.997334754797,72.93016004562378
64,20,0.000847183085867,0.999936034115,135.59939694404602
64,40,0.000430583796489,0.999978678038,259.8964796066284
64,60,0.000394808878955,0.999978678038,383.7296371459961
128,5,0.0386493178484,0.987649253731,28.69423484802246
128,10,0.0160681300512,0.995628997868,46.077577352523804
128,20,0.00432394712671,0.998955223881,82.89346742630005
128,40,0.000345656647454,1.0,153.40863633155823
128,60,0.00048818283835,0.999978678038,223.00153279304504
256,5,0.0592036339657,0.981407249467,20.724984884262085
256,10,0.0310575586114,0.990625799587,30.530020236968994
256,20,0.0120231654247,0.99671641791,50.369075298309326
256,40,0.006776082885,0.998571428571,89.62092304229736
256,60,0.00129015420653,0.999978678038,129.44115352630615
512,5,0.0876224367619,0.973200725391,16.698445558547974
512,10,0.0499390512657,0.984542512929,22.09262228012085
512,20,0.0263580858193,0.991982381491,33.4496111869812
512,40,0.0107137389958,0.997291830404,55.32175064086914
512,60,0.00778220060411,0.998208955224,78.13884115219116
1024,5,0.144933415844,0.955525121089,15.765320539474487
1024,10,0.0788261858029,0.975713185756,19.529427766799927
1024,20,0.0472939149282,0.98575718835,27.207282781600952
1024,40,0.0225676752976,0.993367929077,43.244659423828125
1024,60,0.0157481100463,0.995565004008,59.01808285713196
