batch_size,epochs,loss,accuracy,time
64,5,0.157965977449,0.94212,898.6578640937805
64,10,0.0763101045156,0.97648,1792.245882511139
64,20,0.0285067754239,0.992640000038,3524.319223880768
128,5,0.169110812197,0.936759999981,482.194043636322
128,10,0.0859661990917,0.973680000038,958.6020321846008
256,5,0.172907781963,0.937080000038,275.9424011707306
256,10,0.109334040928,0.966040000172,556.6848838329315
512,5,0.214202711797,0.919319999504,174.6616780757904
512,10,0.146452397051,0.950079999886,339.5688006877899
1024,5,0.232849879436,0.913280000134,123.32902717590332
1024,10,0.177716672673,0.936959999886,237.22345209121704
